,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,caption_1,caption_2,caption_3,caption_4,caption_5
10,-62.969864,110.295586,-9.43996,11.324236,-9.132264,13.998144,-13.409581,3.8094916,-16.883743,7.510981,-9.233162,4.227632,-10.693201,A very robotic synth modulates and reverberates within itself,An interesting instrument whose sound is going up and down.,The synth is reverberated at an rhythmic meter,it is like a iron rod cutting sound and it is a workshop,it is like an iron rod cutting sound and it is a workshop
11,-327.0897,77.52863,16.255621,22.884716,3.007591,29.141914,13.248977,8.541047,18.95855,8.161454,15.275577,15.423025,4.653828,A serene bit of nightfall is met by crickets chirping,Crickets chirp in the background as a soft wind blows.,Crickets chirping outdoors at night with a gentle breeze blowing.,"In the calmness of nightfall, crickets are chirping.","While the wind softly blows, crickets chirp in the background."
12,-220.00316,105.564804,-40.929096,-12.7067,-29.309992,-7.665824,-32.88511,-5.1492124,-21.383137,-11.093674,-24.816702,-4.0884233,-24.235254,A skateboarder is coasting on his board on a back and forth ramp as voices talk in the background.,A skateboarder rides his board up and down a ramp as people speak in the background.,People skateboard with some children who are faintly speaking.,Boards with small wheels are being ridden while children are quietly speaking.,People skateboard around at the park while chatting and laughing.
13,-208.08134,150.24652,-53.27863,-3.7435563,-13.967291,-2.4477189,-32.973938,-13.891414,-20.621634,-12.73289,-22.619768,-6.5580635,-18.450321,A group of people is standing on the street near a busy freeway.,A group of people standing on the street near a busy freeway.,A detector device is operating and detecting nothing and then it registers some activity.,An electric machine is operating and detecting nothing and then it suddenly detects some activity.,Unidentified squeaking occurs several times while men talk in the background.
14,-104.22041,-5.73852,-22.005732,8.532818,-13.771596,16.957222,-8.083027,17.14493,-12.808793,11.691118,-8.292393,12.938945,-5.4864526,"A sweeping swaying sound rising upward repeatedly, then going downward repeatedly.",A sweeping swishing sound becomes louder and fades repeatedly.,Heavily distorted siren sounds make them sound like spacecraft.,They sound like a spacecraft when their siren sounds are highly distorted.,fancy alarm or alert system that is constantly going off
15,-317.94037,54.931137,-17.809587,12.255763,-1.0659792,1.6439384,5.8972187,-0.5591854,2.8535342,4.5197916,0.08382307,5.1978045,3.516165,A radio cycling through stations as it is being repaired.,A radio that is trying to be tuned and fixed.,A series of bleeps and bloops fire off randomly.,The computer is beeping as a voice recording drags .,Various computer noises go off as a voice call breaks up
16,-193.85014,69.35768,-26.442158,12.417644,-22.798794,23.368921,-14.380537,-3.8205662,-12.049784,-0.4227334,-19.270239,23.266748,-29.036364,Air is being forced through a small opening and almost making whistling noises.,The wind howled violently and shrilly then began to taper off.,The wind is blowing through the corn field very loudly.,The wind is heard whistling outside from inside.,Wind howls violently and shrilly then begins to taper off.
17,-371.50662,107.383156,-22.229704,15.186428,-2.9411035,17.767574,-4.521308,10.346623,-4.199252,11.666964,-2.7956402,8.368326,-1.023645,"A cold, icy drink is stirred and then sipped through a straw until it is gone.",A person is pouring a drink and then taking a sip.,A stone object rubs and hits against another object,A straw is moving and audible as it whirls around the bottom of the drain.,Someone is stirring a drink with ice cubes in it and starts drinking with a straw until empty.
18,-243.23521,60.50151,-81.33737,-48.86117,-63.252907,-10.630162,-27.492178,0.66179407,-19.251863,1.8045788,-18.137085,-11.358885,-11.587465,"A built up sound comprised of whining, chirping and other sounds that slowly dies off.","A built up sound comprised of whirring, chirping and other sounds that slowly dies off.",A noisy vacuum cleaner is used in a confined space.,A vacuum cleaner with noisy bearings being used in a confined space.,Cranking noises turn to a low screeching that rises in volume until it is extremely loud.
19,-267.59546,153.0256,-48.41376,11.277694,-10.18971,5.1539145,7.9522195,22.444607,-3.8932824,-7.775582,-6.4213424,9.245166,-7.2339644,"A person gurgling, while trying to ape speech patterns, with some soft, occasional metal clanking in the background.","A person gurgling, while trying to mimic speech patterns, with some soft, intermittent metal clanging in the background.",A person is making weird noises with his or her mouth.,A person is speaking and is hard to understand.,A person who has a hole in their neck is talking and they are hard to understand.
20,-589.217,19.574492,34.253426,46.824818,1.0438715,20.740843,4.638577,16.684587,2.0260508,13.643861,-6.7390184,11.307384,-4.284609,A person is making noise by tapping their fingernails on a solid surface.,Metal prongs rapping insistently against the concrete ground.,Tapping two metal sticks together a few times a second.,Two metal objects tapping into each other a number of times.,Water is dripping from the faucet into the sink.
21,-439.06317,-10.124383,22.261261,21.425272,-7.3846803,22.501087,-22.165615,11.94703,-10.107255,9.792645,-5.2724648,10.146556,-8.650535,A person crunches through dried leaves on the ground.,Aluminum candy papers are balled up in a hand.,Somebody balling up aluminum candy papers in their hand.,The chain of a necklace rattles inside a plastic cup.,a person is stepping on the ground full of dried leaves
22,-519.8648,79.87632,15.438303,-1.3496083,1.5978225,24.734812,-2.4091265,13.337764,-7.753068,13.025118,-7.442006,8.321747,-8.402671,A person slowly clears high growth vegetation outdoors,It takes more force to weed and trim as time goes on.,Rocks are being thrown down on the ground.,Sand is being shoveled and dumped on the ground.,The sand that is being shoveled is being dumped on the nearby ground.
23,-345.9328,125.2702,-8.229745,24.760744,9.939915,14.210523,7.922438,4.2636323,-2.3064163,-6.3419495,-1.0607215,-0.118643016,1.4386538,A clap of thunder coupled with the running water.,The plants in the forest are being blown and thrashed by the winds.,The thunder begins to roar as the rain is drizzling.,The thunder begins to roar while rain is drizzling.,Water is running and a roar of thunder happens at the same time.
24,-437.10504,39.47802,20.145584,27.894972,4.17348,18.706423,1.9109739,9.782982,5.5117087,8.246896,2.319906,5.591963,-2.0300925,A person trying to use a lighter multiple times to light a cigarette and then inhaling and coughing.,After the lighter clicks and lights the cigarette the man coughs.,"Someone starts a lighter, lights a cigarette, takes a breath from the cigarette, and then coughs.","Striking the lighter, she lit the cigarette, pulled and began to cough.",The person tried a few times to light the cigarette with a lighter and he inhales and coughs.
25,-349.06363,78.74765,-71.40584,15.831352,-0.11009932,-15.856245,5.5208044,3.6667562,-3.6822252,10.031194,-7.61896,6.725039,-1.0069995,A female voice communicates over a static walkie-talkie.,Dispatcher and radio communication between people who are talking.,People are talking with each other using radio communication.,People are talking to each other on the radio.,Someone on the radio talking to another person.
26,-386.26428,97.62668,-53.62172,-77.40502,-21.392597,55.512665,22.650705,-20.546679,-15.544965,-9.596607,3.378477,18.020813,-6.846415,A bell sound rings and echoes and slowly returns.,A small quiet mechanical reading or beeping similar to a radar.,A soft mechanical bleeping which is reminiscent of radar.,"A sonar sound starting off strong then fading, to begin strong again and eventually quiet down.",Sonar is activated and its audio oscillates between strong and weak signals.
27,-271.61273,106.58815,-17.391693,27.980091,-8.930417,14.79778,-1.5757259,8.366277,-5.383604,4.5011163,-8.824947,1.5141146,-13.023919,A baby lamb baaing and an adult lamb baaing while walking through grass.,A human mimics a lamb as it bleats.,A lamb bleating while a human mimics it.,Sheep bleat while birds chirp in the background.,Sheep call out while birds chirp in the background.
28,-392.49603,44.0747,-83.090805,-36.248394,-53.865997,-26.175865,-33.884415,-15.98799,-25.526041,-9.249893,-19.68006,0.3963585,-15.814926,A person walks on a scratchy surface in a frequent manner,A person wearing slides is dragging their feet while they walk.,Someone is walking down a sidewalk and dragging their feet a little bit.,Someone walking down a sidewalk and dragging their feet a little bit.,Someone walks by wearing flip flops as they clack and scrape along the sidewalk.
29,-75.9965,116.91981,-36.789047,-3.286288,-45.503937,8.641814,-11.920576,9.954011,-15.391036,1.1531802,-15.709836,5.7613854,-9.02431,"A great number of people of all sorts of ages converse with each other, including a small child.",A group of people are having breakfast together in a cafeteria.,A group of people eat breakfast together at a table in the cafeteria.,A group or crowd of people speaking and shouting.,A large of group of people composed of different ages talk to each other including a toddler.
30,-425.59375,52.616013,-23.213625,12.581646,-8.053042,2.9165666,-11.33853,1.2920634,-11.037174,3.4831655,-13.454493,6.4029965,-11.860283,A book being flipped through over and over.,A books whose page keeps being turned over.,Flipping through a book to put emphasis on the movement of the paper.,Some flipping the pages of a book with large leaves,Someone flipping the large leaf pages of a book.
31,-202.99474,139.26532,1.3655218,48.470478,8.195288,18.179502,3.5126212,2.8155994,-10.299155,6.022496,-12.414465,6.560435,-4.562663,A car idling then somebody blowing a whistle while motorcycles pass by,A person blows a whistle at a busy city intersection.,A person blows a whistle at a busy intersection.,Several cars drive along a road while a police officer directs traffic.,Several cars driving on a road and a whistle is sounding.
32,-97.471466,95.10795,-61.030415,-21.88251,-60.4182,-23.166454,-44.181145,-13.714557,-29.357388,-16.097944,-29.276781,-15.391278,-25.584171,"A short distance away, a group of people engage in indistinguishable chatter.","As time goes on, the bustling crowd chatter resonates.",Many people were moving and discussing inside of a large hall.,The activity of crowd chatter resonates as time goes on.,people are talking loudly in the background indistinguishably
33,-242.82248,138.9463,-14.443781,36.25332,13.893983,18.708162,12.545778,9.412726,-5.34241,-0.9735121,-4.97432,1.4299277,-8.73053,"A person was walking on a sidewalk adjacent to a school, where children were playing on the playground.","As the wind begins to blow, background sounds like metal clanking and children screeching arise.",From outside the laundromat someone watches the clothes go round and round in the dryer,Metal clanks as the wind blows and the voices of children are screeching way in the background.,Someone walking down a sidewalk next to a school with kids on the playground playing.
34,-136.82903,187.61705,-5.5489902,15.316656,-11.429764,10.076937,-11.116802,12.2076235,-13.77971,-0.34133753,-10.603988,6.299309,-12.914764,A large industrial machine was whirring inside of a room.,A large industrial machine whirring inside of a room.,A loud mechanical whir is quite muffled by a distant nature sound.,A small engine runs with a small fan of a vehicle similar to a car.,Industry equipment being utilized inside a company warehouse
35,-381.75775,85.46702,20.930786,32.064262,12.632615,27.842287,10.967318,16.927837,6.2729836,18.917936,-0.3843643,16.120592,0.5465125,Animals and insects are making their usual sounds in a meadow.,Birds chirping outside while people are talking in the background.,"In a jungle, a flock of birds chirp among the flowing river.","In the distance, different birds chirped at different times.","The jungle with a lot of birds chirping, and potentially a river or waterfall nearby."
36,-92.54752,-43.246105,-38.358723,59.424423,-5.648982,23.365793,4.5758457,19.151472,-1.3415419,11.720997,-8.868561,12.265649,-4.730772,A hair trimmer being used to cut hair.,A pair of hair clippers is cutting through hair.,The hair of a person is being cut with a hair trimmer.,The buzz of an electric razor cutting the hair of someone.,"The buzzing of an electric razor, as someone receives a hair cut."
37,-296.16827,105.30392,5.817098,15.817441,7.660426,12.069528,10.264698,10.1935,6.989691,8.957814,4.1382656,8.748576,3.4962494,A camp fire crackles as the flames burn branches and leaves.,A camp fire is crackling as it burns up branches and leaves.,A whir close by and cracking occurs because of a small fire.,A whir nearby and then cracking is apparent from a small fire.,The rain is falling and dripping without other noise.
38,-159.80322,89.6201,-71.068855,32.28757,-31.638166,6.888996,-33.63047,4.4428315,-3.447698,12.848169,-18.21942,0.58090234,-15.252343,A lot of noise is coming from a factory engine.,A person shredding paper in a paper shredder.,A shredder is on and a person puts a charge card into the shredder.,Someone is playing with a remote control car,a factory engine is making a lot of noise
39,-229.66927,140.53458,-17.99652,-34.473743,-54.23256,4.4504633,-16.277868,0.6882925,17.25464,10.161396,17.058178,21.778427,-2.2912593,An upbeat melody of music is repeatedly playing.,Multiple phase music is being played with a rhythmic beat.,Music is being played with a steady beat.,Someone playing an instrument at a constant rate and tune.,an upbeat music melody is playing over and over again
40,-56.5019,56.577587,-35.10477,17.486208,-18.68328,3.3184407,-8.077608,1.1859065,-18.846497,1.5583811,-8.797747,3.6057162,-19.506088,A hand held sander was used as various speeds.,A power tool is being used to cut grass.,A weed whacker trimming edges from a lawn.,A weed whacker trims the edges of a lawn.,Someone is operating a weed eater power tool.
41,-89.03684,158.09555,-56.6948,31.45517,-0.2463622,13.477204,2.1587162,6.5911655,-8.196686,9.007391,-3.8858144,3.0985286,-6.23671,A siren sounds in the distance as heavy traffic rumbles by and a street performer starts playing.,Apparatus running and a melodic instrument being played in the meantime.,"Traffic roars, a distant siren sounds, and a street performer plays music.",someone is playing the trumpet as cars and people are passing by,someone is playing the trumpet while cars and people are passing by
42,-265.61255,73.562805,-16.2626,17.621393,-10.759692,12.863672,-6.486064,20.667753,-9.600279,7.8461523,-5.059429,2.221804,-18.673777,A machine is making a loud clicking noise.,A pendulum moves back and forth and a pendulum ticks.,A pendulum ticks as it moves back and forth.,The machine is making a loud clicking noise.,the ticktocking of a loud clock in the foreground
43,-257.2529,42.337055,-6.90223,-23.228119,-7.993563,-10.824442,-26.847853,-9.286305,-24.389019,-8.235029,-26.97926,-1.4818187,-22.398632,"Chains are rattling while a horse is moving, then a man coughs.","Slow first, then quickening, horse feet and the jangle of their harness pass along, followed by a light cough.",Someone is running with their keys just a jingling and then coughs.,"With increasing speed, the trotting of horse feet and the jangle of their equipment pass by, followed by a cough.","chains are rattling, as horse is moving, then man coughs"
44,-448.74268,68.9181,2.8524604,14.228174,10.204893,7.611633,4.7756047,7.584295,4.9195943,8.524458,7.6004453,2.9376929,2.9066114,"A man moves from the basement to upstairs, moving a heavy metal object with him.","Somebody slides open a heavy object or doorway, then continues walking.",Someone closes the garage door and then walks upstairs.,Someone slowly slides open a heavy screen door and then proceeds to walk down the hallway.,wooden rod beating sound and pushing some heavy material sound
45,-221.64587,10.695362,-11.982646,14.312259,-8.435527,9.376241,-6.064688,9.100304,-6.1437573,7.028968,-5.350037,6.807747,-6.437357,"A person shatters multiple glass objects, and then bangs on things.","Breaking glass, maybe a bottle, eight pieces of window or a conservatory with repetitive strikes on the glass objective",Plates break loudly as they are dropped to the floor.,The tinkling glass sounds after bottles are thrown and broken.,the sound of glass breaking and falling onto the floor
46,-329.55896,288.14233,93.66029,-47.259357,-61.139732,0.5990768,42.793503,27.191895,-10.855422,-23.628311,-4.5144534,17.291235,17.15058,Storm wind blows in the dense forest and makes a peaceful sound.,Storm wind blows in the dense forest very nice sound,"The wind is so strong, it is blowing at a high altitude.",Wind and rain point to signs of a hurricane.,Wind is blowing and bursting at a high altitude.
47,-224.68811,50.344418,-16.277643,18.289625,-8.983603,17.454685,-6.378012,9.355171,-6.4677625,12.913185,-9.433242,7.1335096,-10.309994,"A dog jumped into the water and swim and then came out panting, it shook its body","A dog pants, jumps in water, and shakes the water off.","A dog wearing a chain collar runs towards a pool, swims through it, and returns, then shakes the water off.","A dog with chain collar runs towards a pool, swims through and returns to shake the water off.","Jumping into the water to swim, the dog came out panting and shook his body."
48,-178.94357,82.40534,-15.749589,2.9621797,-17.366322,15.821126,-15.774643,6.9600663,-23.817026,2.6712494,-14.410665,8.815447,-12.04079,A group is in a carriage that is being drawn by a horse on a paved road.,A group of people socializing and a horse trotting in the background.,A throng of people are socializing as a horse trots by in the background.,"Several people talking and laughing, with a horse passing along in the background.","Several people were talking and laughing, with a horse is passing by along in the background."
49,-392.551,53.008286,-1.971278,7.791839,-3.242473,4.1506987,-11.80182,-0.16165152,-6.0649533,3.8866453,1.8143356,4.0007143,-1.4721596,A loud foot stomp interrupts the rhythmic use of the old adding machine.,A mechanical device is being rattled loose while making plastic noises and thuds.,An old adding machine clattering and a foot striking against a hard floor.,Someone closing drawers of folders being pushed back.,mechanical device being rattled lightly with plastic noises and thuds.
50,-16.538845,81.843,-68.41118,-21.139818,-45.242794,-10.508243,-43.89448,-8.910841,-35.82725,-7.372399,-27.004692,-4.7397165,-21.398428,A boat rises above the large waves while a person yells something.,Background voices were present during the wind furiously and continuously rustled and blew.,It is easy to sleep when a lot of rain from a storm hits the top of a country roof.,People are floating down a river in a plastic boat while talking to each other.,Water running over a waterfall with a frog croaking in the background.
51,-101.28838,89.69307,-12.7910385,16.532885,-7.0997343,15.686058,-5.6183386,7.4514694,-12.835333,13.452771,-10.865412,14.120864,-10.354383,A car honks from the midst of a rainstorm.,A vehicle comes to a stop and idles with clunking sound before multiple honks and yells interfere.,Rain from a rainstorm is hitting surfaces and a car honks,Rain hitting the ground before and after two vehicles honk their horns and a man hollers in the background.,The rain is coming down hard and a horn blows in the distance.
52,-359.94528,203.53772,7.8241615,-10.2024765,6.7362204,-5.913183,10.8049135,8.152359,-24.841497,-22.221146,5.23595,7.894092,-7.7883253,Beautiful pipe organ music is played before trailing off into silence.,It is a peaceful instrumental keyboard melody with bell sounds.,"Pipe organ music, beautifully played then trails off into silence",Unknown musical tones coming from some kind of electric musical instrument.,a dull instrumental keyboard melody with bell sounds
53,-414.9826,96.514275,18.566833,15.272838,31.881187,31.716354,3.872768,8.14361,3.8161237,3.7126458,-22.067167,-14.299078,-10.230834,A person tapping a hollow brass bell indoors.,A person taps a brass bell while inside.,Different type of vessels are beaten with a stick to give different noise,Different type of vessels are beaten with a stick to give different noise effects.,Someone plays music on an metal musical instrument or device.
54,-280.43442,147.92848,-32.08486,-5.4060597,-10.838817,-6.818717,-10.53162,-10.175878,-13.370838,-6.7504187,-1.5786667,-5.723148,-15.615738,A high pitched wind instrument is played over and over the notes make a high pitched squeal.,A person plays the wind instrument making sharp shrill sounds terrible to listen to.,"As a bus is moving, someone plays a flute.",Someone was playing flute in a moving bus,The flutist tunes his instrument before beginning to play.
55,-103.880806,-18.391848,-40.23687,11.635828,-12.010259,12.395528,-3.8198392,18.001575,-4.276307,10.407668,-11.746484,10.3570175,-10.229716,A river flows and water trickles down the rocks.,"As the river flows, water trickled down the rocks.","Raining really hard, street flooded, it did not look like going to stop.",Water drips slowly an continuously as a video is playing.,Water trickles down the rocks as the river flows.
56,-468.50558,4.8445845,41.58533,9.144493,1.894164,21.584282,7.451105,25.537123,4.1557302,14.250593,4.8334565,17.276901,4.52432,A crystal and metal big lamp is being hung.,Metal balls hitting each other while they are being dropped into a glass bowl,"Metallic, distinguished objects are being put in place.",Small metal balls are hitting each other while they are being dropped into a glass bowl,a metal object is clashing with other metals.
57,-316.49164,84.27986,-0.2340699,21.512466,8.627002,12.534987,5.074497,7.5452485,4.251999,9.34343,5.3971343,9.159377,5.081769,A cashier at a grocery store scanning items.,A grocery store clerk is scanning some items of food.,A grocery store clerk scanning some items of food.,A scanner beeps as items are being run along it.,"At a grocery store, a cashier is scanning items."
58,-391.10205,115.668625,-10.459999,28.189837,-7.04327,-1.2078464,-7.734665,5.782501,-3.1709101,-3.4767563,-6.8256207,-7.888872,-3.8678803,A farm has several oinking hogs in it.,A few pigs are oinking while a child is speaking in the background.,A lot of pigs oinking in the background,Hogs oinking in an enclosure with faint noises of people talking in the background.,Pigs oinking while people chatter in the background.
59,-161.41843,178.53549,-22.867275,17.351467,13.047076,8.892493,10.079053,4.7759724,-0.88332224,5.6853147,0.53816235,9.593581,2.2208862,"A gun starts shooting continuously, a second and third gun join in after a few seconds.",A single gun being to shoot repeatedly and is shortly followed by a second and third gun.,Pounding slowly then at a solid pace similar to rapid gunfire.,Three people are playing video games and firing machine guns.,different gun shot constantly and another set of gun shot back
60,-173.28418,152.82599,-14.013124,1.4810282,18.975304,17.432566,-4.0480933,8.024826,-7.3054976,4.421826,-8.105264,2.8797371,-10.259549,A truck drives down a road before fading into the distance.,A truck driving down the road before disappearing.,A vehicle has drove past a quiet environment .,"An engine rumbles, splutters slightly and fades into the distance as it passes.",An engine splutters and rumbles slightly and fades into the distance as it passes.
61,-158.41493,112.12402,23.229755,24.422237,-2.9344347,19.163555,-5.98848,9.411069,-7.68298,8.14475,-4.5751143,9.282523,-4.2723665,A person noisily uses and then flushes a toilet.,"Someone first noisily uses, then flushes a toilet.",Someone urinated into the water closet and flushed it,Someone was urinating into the toilet with water and then flushed it.,Water slowly drips before moving into large splashes before a giant flush.
62,-234.18509,99.78605,-25.561115,24.862783,-2.6481304,11.279885,-12.141299,10.234246,-12.596403,5.253701,-15.287525,3.658248,-10.022639,A car engine getting louder and tires moving over crunching gravel.,"A car rides down a gravel driveway, gains speed and exits onto the street.","A car riding down a gravel driveway, gains speed and moves onto the street.",A vehicle is maneuvering on gravel and then drives away.,A vehicle maneuvers on gravel before driving away.
63,-237.22943,77.34132,-71.30513,48.47226,-44.626823,-5.8400116,-34.7084,-15.721835,2.229047,-17.844198,3.965434,-14.715681,1.7563316,"A creature grunts like human, mumbles as time progresses.",A person is struggling in distress and making noises gasping for air.,A person is struggling in distress and making noises to gasp for air.,Human vocal chords are poorly imitating a farm animal.,Human vocal chords imitate a farm animal poorly.
64,-337.18692,76.05937,-34.133106,-34.27066,-22.976316,-14.912682,-27.34714,-5.620886,-18.372128,-7.087965,-19.598923,-2.8101618,-17.295008,A guy is speaking with the screaming of a person in the background,A man is talking while looking at his phone and walking to his car.,A man talking and looking at his phone while walking to his car.,Children yelling in the background and a voice complaining in the foreground at a car wash.,In the foreground a voice complains at a car wash and in the background children yell.
65,-439.75827,92.252945,36.266712,23.057774,5.498119,17.598648,5.680066,11.810578,0.2541188,5.82878,-0.3062372,5.5300827,-0.49643734,A bored person is tapping and rubbing their fingers on a tabletop.,A person tapping their fingers on desk and cracks their knuckles.,Someone cracks their knuckles after strumming their fingers on a desk.,The flow of the wind and taps on a microphone and a channel being tuned.,wind blowing sound and tapping on microphone and tuning the channel sound.
66,-129.8441,170.97667,-17.89915,19.243223,-12.92506,7.289522,-6.2130156,8.7860985,-12.305518,2.775859,-5.4352098,0.72639996,-7.220732,A public transport alerts its passengers and states something.,An airplane speaker tells something to passengers with talking in the background.,An electronic voice makes an announcement to a group of people speaking.,Warning sound and an announcement on public transportation,some people are talking followed by an announcement
67,-322.67612,127.96925,20.507687,25.682806,14.603422,23.454697,9.174347,11.055419,3.0299723,7.13457,5.259296,6.8636165,-0.6372866,Somebody hammers wood while another opens and shuts a major sliding entryway.,Someone hammers wood while another opens and closes a big sliding door.,Something knocked the door and it was closed and silenced before the thing knocked it again,Tapping on a door followed by silence for awhile and then an door opening and closing.,tapping the door sound followed by an idle sound and door open and close sound.
68,-189.82495,69.88487,-4.0739784,-10.935407,-32.53697,11.881663,-19.3091,26.175854,-11.257871,11.046646,-15.478694,2.7012038,-15.239784,A butane fire roars to live and fades out and then fades back into life,A flame from a welding iron is turned on and off.,A person using a hose to clean something.,A welding iron flame is being turned on and then immediately turned off.,Someone cleans a hard surface using a hose.
69,-370.88095,77.28471,14.511219,32.791077,9.296953,18.386868,12.193443,10.440889,7.881657,8.34997,2.3633924,10.981183,2.6461973,A small fire crackling and footsteps of the user in a wooded area.,Birds chirp as footsteps come near then walk far away.,"Footsteps approach, then go away, as birds chirp in the area.","Out in nature, birds singing, steps staring to move on the ground","Out in nature, the birds sing, steps start to move on the ground."
70,-355.19547,118.070625,-6.8864613,6.927721,-2.1247766,-2.3320768,0.41453123,-0.6173819,-6.5840845,-3.9210715,-7.0040913,5.986591,-2.1740134,A man is speaking at a very slow pace.,A man is talking to someone about something.,A man is talking in a nervous manner.,A person speaks but mumbles over their words nervously.,"A person speaks, with a weak cadence to their words and voice."
71,-59.81799,91.71597,-53.976135,11.087011,-23.20418,7.887377,-20.466957,-4.113518,-25.982677,2.7306178,-20.864931,-6.289276,-17.833025,A coffee machine operates as people converse in the background.,A coffee machine preparing coffee while people talk in the background.,A milk shaker filling up is accompanied by various scratching noises,People talk together while another person fills a container with water.,Someone filling a container with water while others are talking.
72,-398.14844,65.71008,-1.7795688,12.134938,-2.6154914,8.916954,0.84283376,2.844132,-3.5647166,6.47215,-1.9918214,6.827291,2.1676195,"A person fills up a glass with a beverage, then quickly chugs it and breathes heavily","A person fills up a glass with liquid, then quickly gulps it and breathes heavily.",Water is poured into a container and is drunk by a person who pants and continues to chug.,Water is poured into a container and then gulped by someone who pants and continues to chug.,"Liquid is poured into a cup, gulped down the throat of a person, then breathing, more gulping, then more breathing."
73,-364.56207,-170.31975,-130.26508,-57.678387,-46.364872,19.731434,-18.961136,13.6519165,-1.4094942,20.432312,-2.1225743,16.113218,-8.832847,A sizzle pan has some items being scooped inside its cooking oil.,Food sizzling in a pan while being cooked on a stove.,Steaks are cooked on a grill and flipped to the other side to cook.,Steaks on a grill and being flipped over to finish cooking.,The sizzling of food cooking on a stove or in a pan.
